기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2012,용인시 기흥구,동백동,21626,66036,32411,33625,65739,32265,33474,297,146,151,3,4344
2012,용인시 기흥구,상하동,8181,24027,11743,12284,23809,11612,12197,218,131,87,2.9,2051
2012,용인시 기흥구,보정동,12085,34589,16899,17690,34320,16756,17564,269,143,126,2.8,4040
2012,용인시 수지구,풍덕천1동,13320,35839,17810,18029,35313,17579,17734,526,231,295,2.7,3056
2012,용인시 수지구,풍덕천2동,13822,40622,20010,20612,40487,19953,20534,135,57,78,2.9,2967
2012,용인시 수지구,신봉동,10837,32471,15876,16595,32361,15821,16540,110,55,55,3,3503
2012,용인시 수지구,죽전1동,20825,60284,29445,30839,59844,29271,30573,440,174,266,2.9,5140
2012,용인시 수지구,죽전2동,7470,20193,10011,10182,20074,9958,10116,119,53,66,2.7,1616
2012,용인시 수지구,동천동,11567,33832,16744,17088,33574,16622,16952,258,122,136,2.9,2824
2012,용인시 수지구,상현1동,14181,43216,20967,22249,43068,20900,22168,148,67,81,3,4124
2012,용인시 수지구,상현2동,10311,32318,15776,16542,32277,15764,16513,41,12,29,3.1,3477
2012,용인시 수지구,성복동,10996,32719,15854,16865,32562,15762,16800,157,92,65,3,4520
2013,용인시 처인구,포곡읍,12390,33543,17224,16319,32776,16767,16009,767,457,310,2.6,3095
2013,용인시 처인구,모현읍,9617,24824,13346,11478,23666,12523,11143,1158,823,335,2.5,2827
2013,용인시 처인구,이동읍,7929,21446,10989,10457,20477,10300,10177,969,689,280,2.6,2641
2013,용인시 처인구,남사면,3112,7915,4387,3528,7107,3737,3370,808,650,158,2.3,1586
2013,용인시 처인구,원삼면,3287,8118,4321,3797,7654,3960,3694,464,361,103,2.3,1632
2013,용인시 처인구,백암면,4097,9789,5238,4551,9284,4844,4440,505,394,111,2.3,1999
2013,용인시 처인구,양지면,6533,16505,8722,7783,16015,8371,7644,490,351,139,2.5,1964
2013,용인시 처인구,중앙동,9829,25192,12752,12440,23987,12115,11872,1205,637,568,2.4,2503
2013,용인시 처인구,역삼동,9389,25148,12623,12525,24689,12419,12270,459,204,255,2.6,1901
2013,용인시 처인구,유림동,11683,33333,16928,16405,32930,16719,16211,403,209,194,2.8,2490
2013,용인시 처인구,동부동,5628,14814,7519,7295,14319,7269,7050,495,250,245,2.5,1431
2013,용인시 기흥구,신갈동,13174,36087,18058,18029,35220,17614,17606,867,444,423,2.7,3386
2013,용인시 기흥구,영덕동,14923,42919,21349,21570,42633,21221,21412,286,128,158,2.9,2785
2013,용인시 기흥구,구갈동,11400,28299,14195,14104,27486,13826,13660,813,369,444,2.4,2055
2013,용인시 기흥구,상갈동,17206,47066,23600,23466,46564,23324,23240,502,276,226,2.7,4506
2013,용인시 기흥구,기흥동,7904,21124,10521,10603,20911,10402,10509,213,119,94,2.6,2019
2013,용인시 기흥구,서농동,7863,19018,9611,9407,18060,9113,8947,958,498,460,2.3,922
2013,용인시 기흥구,구성동,13914,40096,19492,20604,39934,19434,20500,162,58,104,2.9,4581
2013,용인시 기흥구,마북동,11123,31506,15594,15912,31346,15508,15838,160,86,74,2.8,4135
2013,용인시 기흥구,동백동,23190,71527,35138,36389,71228,34999,36229,299,139,160,3.1,4811
2013,용인시 기흥구,상하동,8248,24231,11893,12338,24022,11774,12248,209,119,90,2.9,2195
