번호,기준년월,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,출생년도,인구수
3494,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013600,수남동,1984,2
3495,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,2017,122
3496,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,1927,6
3497,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,2009,128
3498,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013700,안산동,1958,8
3499,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1992,37
3500,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,1976,42
3501,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,1921,1
3502,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,1959,5
3503,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012300,어은동,1989,124
3504,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,2019,73
3505,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1957,55
3506,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,1968,205
3507,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,1958,149
3508,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동,1958,166
3509,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1948,3
3510,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1923,1
3511,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012300,어은동,1958,148
3512,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,1940,27
3513,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012100,죽동,1964,3
3514,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,1925,1
3515,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020011700,장대동,2008,87
3516,Jan-22,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014200,원촌동,1946,1
3517,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,1990,126
3518,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1946,1
3519,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,1997,129
3520,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012300,어은동,1926,2
3521,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동,1968,245
3522,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,2015,169
3523,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,1969,18
3524,Jan-22,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,1960,8
3525,Jan-22,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,1971,9
3526,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,1972,8
3527,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,2004,9
3528,Jan-22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012300,어은동,2003,124
3529,Jan-22,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,1985,273
3530,Jan-22,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,1975,214
3531,Jan-22,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,1994,52
3532,Jan-22,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,1967,8
